element_id,village_dir,media_id,frame_file,description_from_manifest,note
chuna_ghirt,berawala,berawala,frames/0318s_ghirt-stone-grinder-circle.jpg,The 'ghirt': circular stone grinder track; label 'Handmade stone grinder (Ghirt)','Handmade stone grinder (Ghirt)' circular track
chuna_ghirt,berawala,berawala,frames/0336s_ghirt-powder-cement-alternative.jpg,Family member at the ghirt; subtitle 'that powder was used as an alternative of cement','that powder was used as an alternative of cement'
chuna_ghirt,kanolai,tp0mVligrls,frames/1022s.jpg,Lime-plastered ruins: platforms and wall stubs of old houses,lime-plastered platforms and wall stubs
chuna_ghirt,kumbhana,fb1953976362088874,frames/0074s.jpg,"Inside the fort: brick arches and a vaulted ceiling still standing, light through the far arch","Kumbhana garh: brick arches, vaulted ceiling"
chuna_ghirt,kumbhana,fb1953976362088874,frames/0138s.jpg,"Brick masonry detail: an arched doorway filled with rubble, a bracketed cornice","brick masonry, arched doorway, bracketed cornice (mistri/chejara work)"
pathshala,thoiya,fb2095882537884310,frames/0050s.jpg,The school's blackboard: a black-painted rectangle still on the stone wall of the classroom; an elder walks past,school blackboard still on stone wall
pathshala,thoiya,fb2095882537884310,frames/0170s.jpg,"Close-ups of the plaster: letters scratched in English (an 'R.S' is legible), the names the video title mentions",letters scratched in plaster by pupils
camel,34-gaon,fb_dharamveer_godara_photos,frames/01_well-trough-camels.jpg,Lime-plastered village well with a masonry cattle trough (khel) on a bare plain; a herd of camels and standing water behind,herd of camels at well
camel,khiyana,YGDc75dU39g,frames/0062s.jpg,Boy with a camel on the sand,boy with a camel on the sand
cattle,berawala,fb745079231440066,frames/0002s.jpg,Herd of cows being driven along the shore of the Berawala pond by a herder; the pond full after rains,herd of cows (breed not identifiable from description)
cattle,likhmisar,fb1459335058470001,frames/0011s.jpg,"Cattle at the pond, jaal trees on the bank",cattle at pond
cattle,khiyana,YGDc75dU39g,frames/0242s.jpg,"Vlogger near a house; cow with a wooden bar tied to its mouth (to stop it drinking its own milk, per comments)","cow with wooden bar tied to mouth (to stop self-suckling, per comments)"
sheep_goat,kumbhana,fb2262161430872727,frames/0002s.jpg,Kumbhana johad full of water; a flock of sheep and goats at the shore under a big jaal tree; Dinesh Beniwal gestures at the view; overlay '34 कुमाना गाँव का जोहड़ा',flock of sheep and goats at johad
tractor_replaces_camel,kanolai,z3ILa3-NyU0,frames/0032s.jpg,Riding a tractor across the open sand of the former village,tractor across the open sand of the former village
farming_now,motasar,fb1152422783491564,frames/0002s.jpg,"A green crop growing on the old Motasar land, trees on the horizon; overlay 'पुराणा 34 गाँव मोटासर'",green crop on old Motasar land (who farms it? needs check)
charpai_hookah,34-gaon,fb1485439029343121,frames/0002s.jpg,"Three elders of the 34 gaon sit on a charpai in a whitewashed room with a hookah and talk about 'roli ka saal', the year when house after house emptied; a framed picture on the wall behind",elders on a charpai with hookah; 'roli ka saal'
dress,kanolai,z3ILa3-NyU0,frames/0012s.jpg,Woman in red odhni and man at the shrine door of Peer ji Maharaj Kanolai Dham,woman in red odhni at shrine
dress,thoiya,fb2095882537884310,frames/0032s.jpg,An elder in white kurta and safa stands in the ruined classroom and speaks; stone walls with plaster patches,elder in white kurta and safa
dress,khiyana,YGDc75dU39g,frames/1532s.jpg,Vlogger with a local host in traditional dress; crowd seated behind,local host in traditional dress
nathu_dada_fair,khiyana,YGDc75dU39g,frames/0392s.jpg,"Arrival at the fair ground: tractors, trolleys, crowds","fair ground: tractors, trolleys, crowds"
nathu_dada_fair,khiyana,YGDc75dU39g,frames/0572s.jpg,Temple priest in yellow kurta and pink safa begins the Nathu Dada story,priest begins Nathu Dada story
nathu_dada_fair,khiyana,YGDc75dU39g,frames/0902s.jpg,Women and families seated on the sand at the fair,women and families seated on the sand
nathu_dada_fair,khiyana,YGDc75dU39g,frames/1142s.jpg,Fair at dusk: lights and crowd,fair at dusk: lights and crowd
nathu_dada_fair,khiyana,YGDc75dU39g,frames/1262s.jpg,Sleeping on the dune under an orange blanket,sleeping on the dune under a blanket
fair_food,khiyana,YGDc75dU39g,frames/0332s.jpg,"Falooda stall on the way, Hanumangarh vendor; sign 'फालूदा'",falooda stall (vendor from Hanumangarh)
fair_food,khiyana,YGDc75dU39g,frames/0482s.jpg,Sweet stall: trays of mithai and namkeen for the fair,sweet stall: mithai and namkeen
games,khiyana,YGDc75dU39g,frames/1382s.jpg,Large crowd watching the bike stunt challenge on the dune,crowd watching bike stunt challenge on dune (new game)
pir_baba_kanolai,kanolai,fb1034283355871713,frames/0017s.jpg,"The whitewashed Peer Baba shrine (Kanolai Dham) with its small dome and a plastered platform, dunes behind","Peer Baba shrine (Kanolai Dham), dome and platform"
pir_baba_kanolai,kanolai,tp0mVligrls,frames/0602s.jpg,Painted sign board of the Kanolai Dham shrine (Peer ji Maharaj); dated 2018 renovation text visible,painted sign board; 2018 renovation text
pir_baba_kanolai,kanolai,z3ILa3-NyU0,frames/0002s.jpg,"Peer ji Maharaj Kanolai Dham: small whitewashed shrine with green door, painted sign, strings of hanging offerings; family member at the door","shrine with green door, hanging offerings"
pir_baba_kanolai,kanolai,tp0mVligrls,frames/1652s.jpg,Small masonry samadhi with red cloth and flag (Heer ji ki Madhi); elders pay respects and talk,Heer ji ki Madhi samadhi with red cloth and flag
pammaji,kumbhana,fb649534878213015,frames/0008s.jpg,"The painted plaque above the gateway: 'ੴ स्थान श्री मान 1008 महात्मा श्री डाडा पम्मा राम साहिबजी महाराज, संवत् 18?0' with a small picture of Guru Nanak and the Sikh Gurus below it","plaque 'डाडा पम्मा राम साहिबजी महाराज, संवत् 18?0', Ik Onkar, Sikh Gurus"
pammaji,kumbhana,fb649534878213015,frames/0038s.jpg,Inside: the samadhi draped in white cloth with a marigold garland; framed pictures of Guru Nanak and of Shiv-Parvati; a plate of offerings,samadhi in white cloth; pictures of Guru Nanak and Shiv-Parvati
pammaji,kumbhana,fb649534878213015,frames/0062s.jpg,Marble plaque on the platform: 'ੴ परम पूज्य डाडा पम्मा राम साहिबजी महाराज के दरबार में आई संगत का सेवक गोमाराम मिंढा हार्दिक स्वागत करता है',marble plaque welcoming the sangat
village_shrines,berawala,berawala,frames/0204s_thakurji-mandir-brick-ruins.jpg,"Thakurji Mandir: brick and plaster temple ruins, interior",Thakurji Mandir brick-and-plaster ruins
village_shrines,34-gaon,fb_dharamveer_godara_photos,frames/03_white-shrine-by-pond.jpg,Small whitewashed shrine with a pointed spire and stone-wall ruins beside the pond; a big jaal tree behind,small whitewashed devli by pond
village_shrines,likhmisar,fb1459335058470001,frames/0020s.jpg,A small shrine with a red door on the pond bank beside a big tree (the temple of the reel title),small shrine with red door on pond bank
bagri_language,kumbhana,fb1795870261114842,frames/0002s.jpg,"Kumbhana's kachcha (earthen) johad at dusk: the earthen embankment, khejri trees, water in the distance; overlay '34 गाँव कुम्भाना का कच्चा जोहड़ा'",overlay '34 गाँव कुम्भाना का कच्चा जोहड़ा' (जोहड़ा form)
bagri_language,motasar,fb1152422783491564,frames/0002s.jpg,"A green crop growing on the old Motasar land, trees on the horizon; overlay 'पुराणा 34 गाँव मोटासर'",overlay 'पुराणा 34 गाँव मोटासर' (ण in पुराणा)
bagri_language,34-gaon,fb1485439029343121,frames/0002s.jpg,"Three elders of the 34 gaon sit on a charpai in a whitewashed room with a hookah and talk about 'roli ka saal', the year when house after house emptied; a framed picture on the wall behind",elders speak of 'रोळी के साल' (ळ)
bagri_language,34-gaon,fb1424367825337915,frames/0002s.jpg,"Dinesh Beniwal speaks to camera from a dune above a living village (fields and houses behind), announcing the full 34-gaon videos on his YouTube channel; overlay '34 पुराणा गाँव के टोटल वीडियो'",overlay '34 पुराणा गाँव के टोटल वीडियो'
